"BillType","BillNumber","Sequence","Sponsor","Type","Status","SponDate","WithDate","ModDate"
"S",1887,6,"Turner, Shirley K.","C","A",10/28/2024 0:00:00,,10/28/2024 0:00:00
"S",1887,7,"McKeon, John F.","C","A",10/28/2024 0:00:00,,10/28/2024 0:00:00
"S",1887,8,"Moriarty, Paul D.","C","A",10/28/2024 0:00:00,,10/28/2024 0:00:00
"S",1887,9,"Timberlake, Britnee N.","C","A",10/28/2024 0:00:00,,10/28/2024 0:00:00
"S",1888,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,1/18/2024 0:00:00
"S",1888,2,"Sarlo, Paul A.","P","A",12/4/2025 0:00:00,,12/4/2025 0:00:00
"S",1888,3,"Turner, Shirley K.","C","A",12/4/2025 0:00:00,,12/4/2025 0:00:00
"S",1888,4,"McKnight, Angela V.","C","A",12/8/2025 0:00:00,,12/8/2025 0:00:00
"S",1888,5,"Holzapfel, James W.","C","A",12/11/2025 0:00:00,,12/11/2025 0:00:00
"S",1888,6,"Johnson, Gordon M.","C","A",12/15/2025 0:00:00,,12/15/2025 0:00:00
"S",1888,7,"O'Scanlon, Declan J.","C","A",12/15/2025 0:00:00,,12/15/2025 0:00:00
"S",1889,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,1/18/2024 0:00:00
"S",1890,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,1/18/2024 0:00:00
"S",1891,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,1/18/2024 0:00:00
"S",1891,2,"Greenstein, Linda R.","C","A",1/9/2024 0:00:00,,1/18/2024 0:00:00
"S",1891,3,"Holzapfel, James W.","C","A",1/9/2024 0:00:00,,1/18/2024 0:00:00
"S",1891,4,"Turner, Shirley K.","C","A",1/9/2024 0:00:00,,1/18/2024 0:00:00
"S",1892,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,1/18/2024 0:00:00
"S",1893,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,1/18/2024 0:00:00
"S",1893,2,"Schepisi, Holly T.","C","A",1/9/2024 0:00:00,,1/18/2024 0:00:00
"S",1893,3,"Bramnick, Jon M.","C","A",10/20/2025 0:00:00,,10/20/2025 0:00:00
"S",1894,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1895,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1895,2,"Mukherji, Raj","P","A",5/12/2025 0:00:00,,5/12/2025 0:00:00
"S",1895,3,"Stack, Brian P.","C","A",5/19/2025 0:00:00,,5/19/2025 0:00:00
"S",1896,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",1897,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1897,2,"Pennacchio, Joseph","C","A",4/15/2024 0:00:00,,4/15/2024 0:00:00
"S",1898,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1899,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1900,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1901,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1901,2,"Stack, Brian P.","P","A",11/17/2025 0:00:00,,12/30/2025 0:00:00
"S",1901,3,"Stack, Brian P.","C","W",11/13/2025 0:00:00,11/17/2025 0:00:00,11/17/2025 0:00:00
